Test No,1's,2's,3's,4's,5's,6's,7's,8's,9's,Euclidean Distance, Pearsons Correlation
1,48.507462686567166,4.477611940298507,5.223880597014925,5.223880597014925,8.208955223880597,2.9850746268656714,0.7462686567164178,2.2388059701492535,22.388059701492537,30.790374031371517,0.7357582901721275
2,26.865671641791046,23.134328358208954,18.65671641791045,17.16417910447761,3.731343283582089,1.4925373134328357,4.477611940298507,2.2388059701492535,2.2388059701492535,13.954015272110807,0.8785910401863427
3,23.88059701492537,16.417910447761194,11.194029850746269,12.686567164179104,11.194029850746269,9.701492537313433,8.208955223880597,3.731343283582089,2.9850746268656714,8.99151328782693,0.9370185977058832
4,18.65671641791045,13.432835820895523,19.402985074626866,12.686567164179104,14.17910447761194,7.462686567164178,6.7164179104477615,4.477611940298507,2.9850746268656714,15.771138173484703,0.7363090068139991
5,9.701492537313433,20.149253731343283,16.417910447761194,17.16417910447761,14.925373134328357,11.940298507462686,6.7164179104477615,0.7462686567164178,2.2388059701492535,24.410006657905367,0.3533416208455082
6,44.02985074626866,17.91044776119403,5.970149253731343,5.223880597014925,2.2388059701492535,5.970149253731343,7.462686567164178,6.7164179104477615,4.477611940298507,17.16932810504026,0.938711476850972
7,18.65671641791045,13.432835820895523,19.402985074626866,12.686567164179104,14.17910447761194,7.462686567164178,6.7164179104477615,4.477611940298507,2.9850746268656714,15.771138173484703,0.7363090068139991
8,19.402985074626866,11.194029850746269,10.44776119402985,14.925373134328357,8.955223880597014,5.970149253731343,11.194029850746269,10.44776119402985,7.462686567164178,15.953496548638565,0.7893218122221208
9,13.432835820895523,10.44776119402985,8.955223880597014,7.462686567164178,5.223880597014925,11.194029850746269,18.65671641791045,13.432835820895523,11.194029850746269,25.536059792846242,0.023050236030347837
10,29.1044776119403,7.462686567164178,11.194029850746269,9.701492537313433,14.17910447761194,9.701492537313433,9.701492537313433,3.731343283582089,5.223880597014925,13.091292962761381,0.830378397146216
11,23.88059701492537,16.417910447761194,11.194029850746269,11.940298507462686,8.955223880597014,12.686567164179104,8.208955223880597,3.731343283582089,2.9850746268656714,9.697399595861198,0.9205625376796647
12,29.1044776119403,16.417910447761194,14.925373134328357,8.955223880597014,5.970149253731343,7.462686567164178,5.223880597014925,9.701492537313433,2.2388059701492535,6.341326827253996,0.9625148586034786
13,29.1044776119403,7.462686567164178,11.194029850746269,9.701492537313433,14.17910447761194,9.701492537313433,9.701492537313433,3.731343283582089,5.223880597014925,13.091292962761381,0.830378397146216
14,25.37313432835821,5.970149253731343,12.686567164179104,10.44776119402985,13.432835820895523,12.686567164179104,10.44776119402985,3.731343283582089,5.223880597014925,15.76407410931411,0.7377014556309178
15,23.88059701492537,26.119402985074625,32.83582089552239,7.462686567164178,0.7462686567164178,1.4925373134328357,1.4925373134328357,3.731343283582089,2.2388059701492535,25.181513390151924,0.7191712730626969
16,26.119402985074625,17.16417910447761,16.417910447761194,11.194029850746269,8.208955223880597,4.477611940298507,7.462686567164178,4.477611940298507,4.477611940298507,6.466728252579935,0.9625120732961687
17,19.402985074626866,28.35820895522388,21.641791044776117,21.641791044776117,5.970149253731343,2.9850746268656714,0.0,0.0,0.0,23.551622014888693,0.6878388574153613
18,25.37313432835821,5.970149253731343,12.686567164179104,10.44776119402985,13.432835820895523,12.686567164179104,10.44776119402985,3.731343283582089,5.223880597014925,15.76407410931411,0.7377014556309178
19,35.07462686567165,5.970149253731343,7.462686567164178,8.208955223880597,4.477611940298507,14.925373134328357,8.208955223880597,9.701492537313433,5.970149253731343,17.199467812330717,0.7728442280868496
20,22.388059701492537,25.37313432835821,29.850746268656714,15.671641791044777,4.477611940298507,0.7462686567164178,0.0,0.7462686567164178,0.7462686567164178,23.90000880814027,0.7233696271888186
21,13.432835820895523,8.208955223880597,5.970149253731343,7.462686567164178,12.686567164179104,13.432835820895523,20.149253731343283,11.194029850746269,7.462686567164178,27.07593333911142,-0.057578091196082155
